rules;antecedents;consequents;support;confidence;lift;leverage;conviction
{hiburan digital} ->{skincare};hiburan digital;skincare;0.14285714285714285;0.39999999999999997;0.9333333333333333;-0.010204081632653073;0.9523809523809522
{skincare} ->{hiburan digital};skincare;hiburan digital;0.14285714285714285;0.3333333333333333;0.9333333333333332;-0.010204081632653073;0.9642857142857141
{hiburan digital} ->{makanan};hiburan digital;makanan;0.10714285714285714;0.3;0.7636363636363637;-0.033163265306122444;0.8673469387755104
